"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","age","gender","tries","responses","phase","number","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","data_tag","data","result","points","place","sequence","times","during"
"2810","/tickets/utils/consent.html","html","0","2902","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","age","1","7199","0.0-1.0","33","f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","instructions_check","2","11125","0.0-2.0","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1060","/tickets/utils/start.html","html","3","13365","0.0-3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","bar-choose","4","20712","0.0-4.0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"780","/tickets//utils/testing.html","html","5","22642","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","store_data","6","23643","0.0-6.0","","","","","","","10","16","5","7","23","30","12","42","0","20","24","38","9","44","22","15","18","37","19","49","36","32","17","11","29","13","43","14","21","34","26","6","48","33","8","27","28","4","45","41","25","31","39","35","46","2","40","1","3","47","p1_testing_order","10,16,5,7,23,30,12,42,0,20,24,38,9,44,22,15,18,37,19,49,36,32,17,11,29,13,43,14,21,34,26,6,48,33,8,27,28,4,45,41,25,31,39,35,46,2,40,1,3,47","","","","","",""
"","","ticket-choose","7","27269","0.0-7.0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180","1","2","-1","1110,386",""
"927","/tickets/utils/testing_after.html","html","8","29375","0.0-8.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","ticket-choose","9","35937","0.0-9.0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","183","1","3","0","897,412,388,332,586,915",""
"","","ticket-choose","10","38929","0.0-10.0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","177","1","2","1","1094",""
"","","ticket-choose","11","43596","0.0-11.0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","191","2","1","2","995,740,797",""
"","","bar-choose","12","49345","0.0-12.0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1565","/tickets/utils/start2.html","html","13","52103","0.0-13.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","bar-choose","14","57253","0.0-14.0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"693","/tickets/utils/testing2.html","html","15","59148","0.0-15.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","store_data","16","60150","0.0-16.0","","","","","","","47","35","2","32","29","21","6","15","25","43","19","10","12","36","38","20","49","31","37","17","11","1","4","18","8","16","41","42","24","28","13","34","46","23","3","14","27","0","5","26","39","40","44","9","22","7","33","45","30","48","p2_testing_order","47,35,2,32,29,21,6,15,25,43,19,10,12,36,38,20,49,31,37,17,11,1,4,18,8,16,41,42,24,28,13,34,46,23,3,14,27,0,5,26,39,40,44,9,22,7,33,45,30,48","","","","","",""
"","","ticket-choose","17","64104","0.0-17.0","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","183","0","6","0","1002,946",""
"","","ticket-choose","18","66972","0.0-18.0","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","169","1","4","1","916",""
"","","ticket-choose","19","71100","0.0-19.0","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150","2","1","2","729,420,812",""
"","","bar-choose","20","76071","0.0-20.0","","","","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","final","21","88681","0.0-21.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nothing"
